COMPANY NAME,Report Date,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value
INDUSIND BANK LTD,2011-03-31 00:00:00,465.97,3576.27,39890.79,1702.81,45635.84,572.05,24.41,13550.81,31488.57,45635.84,,,4024.6,465773835,,10
INDUSIND BANK LTD,2012-03-31 00:00:00,467.7,4263.06,51043.56,1821.75,57596.07,614.1,42.7,14571.95,42367.32,57596.07,,,5539.62,467510001,,10
INDUSIND BANK LTD,2013-03-31 00:00:00,522.87,7096.67,63576.28,2110.69,73306.51,740.61,15.53,19654.17,52896.2,73306.51,,,6848.73,523061906,,10
INDUSIND BANK LTD,2014-03-31 00:00:00,525.64,8506.3,75264.25,2729.74,87025.93,991.26,25.19,21562.95,64446.53,87025.93,,,6769.44,525446484,,10
INDUSIND BANK LTD,2015-03-31 00:00:00,529.45,10101.03,94752.42,6404.47,111787.37,1119.56,38.02,22878.34,87751.45,111787.37,,,10779.14,529450209,,10
INDUSIND BANK LTD,2016-03-31 00:00:00,594.99,17087.22,117996.21,7218.58,142897,1217.85,37.48,34054.31,107587.36,142897,,,10111.87,594986335,,10
INDUSIND BANK LTD,2017-03-31 00:00:00,598.15,20032.77,149025.91,8991.59,178648.42,1306.8,28.44,36702.14,140611.04,178648.42,,,18628.25,598148705,,10
INDUSIND BANK LTD,2018-03-31 00:00:00,600.22,23226.85,189928.25,7870.85,221626.17,1313.31,25.44,50076.72,170210.7,221626.17,,,13215.88,600223187,,10
INDUSIND BANK LTD,2019-03-31 00:00:00,602.69,26072.1,242189.03,8955.6,277819.42,1688.06,21.95,59266.16,216843.25,277819.42,,,14783.4,602686868,,10
INDUSIND BANK LTD,2020-03-31 00:00:00,693.54,33329.66,262793.36,10240.99,307057.55,1742.11,78.01,59979.94,245257.49,307057.55,,,16003.65,693535738,,10
ICICI BANK LTD,2011-03-31 00:00:00,1151.82,54150.38,384944.86,93520.8,533767.86,5489.55,,209652.78,318625.53,533767.86,,,39385.26,1151883975,,10
ICICI BANK LTD,2012-03-31 00:00:00,1152.77,60121.34,443247.09,114765.7,619286.9,5431.98,,239864.09,373990.83,619286.9,,,41156.29,1152826045,,10
