,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,COMPANY NAME
1,3/31/2011 0:00,3589.36,,,,52.36,383.36,296.66,414.98,710.8,60.55,2212.86,879.39,302.06,577.33,93.19,INDUSIND BANK LTD
2,3/31/2012 0:00,5359.19,,,,74.84,486.17,377.56,510.19,1011.78,74.96,3654.95,1192.3,389.69,802.61,102.89,INDUSIND BANK LTD
3,3/31/2013 0:00,6983.23,,,,96.45,662.19,519.88,668,1362.96,73.43,4750.37,1575.87,514.68,1061.18,156.86,INDUSIND BANK LTD
4,3/31/2014 0:00,8253.53,,,,125.83,810.15,604.63,1014.65,1890.53,98.15,5362.82,2127.83,719.81,1408.02,183.97,INDUSIND BANK LTD
5,3/31/2015 0:00,9691.96,,,,164.77,981.6,756.62,1227.81,2546.09,126.85,6271.69,2708.71,915,1793.72,211.78,INDUSIND BANK LTD
6,3/31/2016 0:00,11871.74,,,,201.67,1237.4,602.35,2146.32,3296.95,156.52,7355.17,3469.26,1182.81,2286.45,267.75,INDUSIND BANK LTD
7,3/31/2017 0:00,14405.67,,,,255.15,1523.74,1138.09,2766.73,4171.49,190.7,8343.07,4359.68,1491.79,2867.89,358.89,INDUSIND BANK LTD
8,3/31/2018 0:00,17280.75,,,,341.83,1783.48,843.25,3586.67,4750.1,211.64,9783.3,5480.68,1874.69,3605.99,450.16,INDUSIND BANK LTD
9,3/31/2019 0:00,22261.15,,,,335.63,1857.19,927.35,6162.13,5645.54,228.85,13414.97,4980.57,1679.47,3301.1,452.02,INDUSIND BANK LTD
10,3/31/2020 0:00,28782.83,,,,360.28,2212.26,1088.4,8941.93,6942.71,277.97,16724.09,6120.61,1702.7,4417.91,,INDUSIND BANK LTD
1,3/31/2011 0:00,30081.4,,,,667.73,4395.96,2106.28,25955.8,31513.3,739.68,19342.57,8386.68,2068.49,6093.27,1612.55,ICICI BANK LTD
2,3/31/2012 0:00,37994.86,,,,670.53,5104.88,2110.08,22403.89,28659.7,671.44,25013.25,10680.49,2742.86,7642.93,1902.07,ICICI BANK LTD
3,3/31/2013 0:00,44884.59,,,,775.69,5633.25,6689.78,18585.15,29319.81,625.48,28285.41,13609.64,3479.76,9603.61,2307.28,ICICI BANK LTD
