,Report Date,PRICE:,COMPANY NAME
1,3/31/2011 0:00,263.6,INDUSIND BANK LTD
2,3/31/2012 0:00,321.65,INDUSIND BANK LTD
3,3/31/2013 0:00,404.7,INDUSIND BANK LTD
4,3/31/2014 0:00,501.85,INDUSIND BANK LTD
5,3/31/2015 0:00,886,INDUSIND BANK LTD
6,3/31/2016 0:00,967.6,INDUSIND BANK LTD
7,3/31/2017 0:00,1425.15,INDUSIND BANK LTD
8,3/31/2018 0:00,1796.75,INDUSIND BANK LTD
9,3/31/2019 0:00,1780,INDUSIND BANK LTD
10,3/31/2020 0:00,351.3,INDUSIND BANK LTD
1,3/31/2011 0:00,202.95,ICICI BANK LTD
2,3/31/2012 0:00,161.85,ICICI BANK LTD
3,3/31/2013 0:00,190.04,ICICI BANK LTD
4,3/31/2014 0:00,226.37,ICICI BANK LTD
5,3/31/2015 0:00,286.82,ICICI BANK LTD
6,3/31/2016 0:00,215.14,ICICI BANK LTD
7,3/31/2017 0:00,251.68,ICICI BANK LTD
8,3/31/2018 0:00,278.35,ICICI BANK LTD
9,3/31/2019 0:00,400.5,ICICI BANK LTD
10,3/31/2020 0:00,323.75,ICICI BANK LTD
1,3/31/2011 0:00,287.1,HINDUSTAN UNILEVER LTD
2,3/31/2012 0:00,410.05,HINDUSTAN UNILEVER LTD
3,3/31/2013 0:00,466.95,HINDUSTAN UNILEVER LTD
4,3/31/2014 0:00,605.55,HINDUSTAN UNILEVER LTD
5,3/31/2015 0:00,873.55,HINDUSTAN UNILEVER LTD
6,3/31/2016 0:00,869.5,HINDUSTAN UNILEVER LTD
7,3/31/2017 0:00,911.75,HINDUSTAN UNILEVER LTD
8,3/31/2018 0:00,1333.35,HINDUSTAN UNILEVER LTD
9,3/31/2019 0:00,1706.8,HINDUSTAN UNILEVER LTD
10,3/31/2020 0:00,2298.5,HINDUSTAN UNILEVER LTD
1,,,HERO MOTOCORP LTD
2,,,HERO MOTOCORP LTD
3,,,HERO MOTOCORP LTD
4,3/31/2014 0:00,2274.8,HERO MOTOCORP LTD
5,3/31/2015 0:00,2639.8,HERO MOTOCORP LTD
6,3/31/2016 0:00,2945.7,HERO MOTOCORP LTD
7,3/31/2017 0:00,3221.95,HERO MOTOCORP LTD
8,3/31/2018 0:00,3542.8,HERO MOTOCORP LTD
9,3/31/2019 0:00,2553.15,HERO MOTOCORP LTD
